Country,Count
United States,2394
Germany,594
None,316
China,295
Canada,238
Austria,204
United Kingdom,187
France,177
Netherlands,141
Hong Kong,123
Switzerland,83
Australia,59
Sweden,58
South Korea,51
Norway,47
Israel,40
Brazil,38
Italy,32
Japan,32
Saudi Arabia,30
Singapore,24
Denmark,21
India,18
Indonesia,15
Czech Republic,15
Spain,13
Mexico,11
Belgium,8
Taiwan,7
Russia,6
Finland,6
Argentina,5
New Zealand,5
Ireland,5
Hungary,5
Slovakia,4
Qatar,4
United Arab Emirates,2
Turkey,2
Malaysia,2
Egypt,2
South Africa,2
Greece,1
Chile,1
Colombia,1
Poland,1
Iraq,1
Thailand,1
Vietnam,1
